uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11266,S,F,AC,F,-6.376234147950338,150,VSAP,39.48922609859989,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11267,S,F,AC,F,-6.376257925775931,150,VSAP,39.48896926024551,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11268,S,F,AC,F,-6.37628110976688,150,VSAP,39.488714572374214,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11269,S,F,AC,F,-6.376307857562316,150,VSAP,39.488430099967964,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11270,S,F,AC,F,-6.37411674153555,150,VSAP,39.48972281861451,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11271,S,F,AC,F,-6.374138694901459,150,VSAP,39.489528564936144,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11272,S,F,AC,F,-6.374151194876832,150,VSAP,39.48934498921951,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11273,S,F,AC,F,-6.374177225959761,150,VSAP,39.48909786961093,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11274,S,F,AC,F,-6.374208921883178,150,VSAP,39.488849837486505,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11275,S,F,AC,F,-6.37422957618358,150,VSAP,39.488598553204795,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11276,S,F,AC,F,-6.374250182447491,150,VSAP,39.488348107441254,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11277,S,F,AC,F,-6.376592756494359,150,VSAP,39.488297816332604,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11278,S,F,AC,F,-6.376475949655923,150,VSAP,39.48812819243865,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11279,S,F,AC,F,-6.376711903744013,150,VSAP,39.48814496346926,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11280,S,F,AC,F,-6.376764190893775,150,VSAP,39.48921402969545,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11281,S,F,AC,F,-6.37678693319791,150,VSAP,39.48900394139226,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11282,S,F,AC,F,-6.376812998424879,150,VSAP,39.4887817878682,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11283,S,F,AC,F,-6.376819049334899,150,VSAP,39.48862086468574,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11284,S,F,AC,F,-6.376844857954479,150,VSAP,39.4884055583229,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11285,S,F,AC,F,-6.377056193784255,150,VSAP,39.489220621555226,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11286,S,F,AC,F,-6.377078936376639,150,VSAP,39.489010533192065,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11287,S,F,AC,F,-6.377105000680495,150,VSAP,39.48878837957179,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11288,S,F,AC,F,-6.377111050918836,150,VSAP,39.48862745635184,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11289,S,F,AC,F,-6.377136858643902,150,VSAP,39.488412149894366,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11290,S,F,AC,F,-6.376880862114652,150,VSAP,39.48797254900499,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11291,S,F,AC,F,-6.376910355567167,150,VSAP,39.48777716131182,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11292,S,F,AC,F,-6.376916982954548,150,VSAP,39.487600893850825,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11293,S,F,AC,F,-6.376941407899802,150,VSAP,39.487394907304285,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11294,S,F,AC,F,-6.377192119035317,150,VSAP,39.48797527252876,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11295,S,F,AC,F,-6.377221611621589,150,VSAP,39.487779884727594,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11296,S,F,AC,F,-6.37722823822375,150,VSAP,39.48760361722272,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11297,S,F,AC,F,-6.377252662254545,150,VSAP,39.48739763058019,10,Ba,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11298,S,F,AC,F,-6.377141927721628,150,VSAP,39.488277320057435,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11299,S,F,AC,F,-6.377446214131257,150,VSAP,39.48830297957062,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11300,S,F,AC,F,-6.377809562487859,150,VSAP,39.48832621267749,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11301,S,F,AC,F,-6.37938925885759,150,VSAP,39.488418224784425,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11302,S,F,AC,F,-6.379031043648396,150,VSAP,39.4883875954754,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11303,S,F,AC,F,-6.378720925767671,150,VSAP,39.48836932548314,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11304,S,F,AC,F,-6.378440063939158,150,VSAP,39.488347955359345,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11305,S,F,AC,F,-6.378149074392243,150,VSAP,39.4883376323244,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11306,S,F,AC,F,-6.379748653178237,150,VSAP,39.48818678895212,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11307,S,F,AC,F,-6.379817425688244,150,VSAP,39.487519368440246,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11308,S,F,AC,F,-6.379791388464678,150,VSAP,39.48769542008169,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11309,S,F,AC,F,-6.379773081119198,150,VSAP,39.487924260899256,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11310,S,F,AC,F,-6.379836829122439,150,VSAP,39.487259011672485,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11311,S,F,AC,F,-6.379792058957493,150,VSAP,39.48702874757164,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11312,S,F,AC,F,-6.37832236215674,150,VSAP,39.48646568203894,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11313,S,F,AC,F,-6.378585979334734,150,VSAP,39.48655806963278,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11314,S,F,AC,F,-6.378825619838731,150,VSAP,39.486642399751,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11315,S,F,AC,F,-6.379069972051539,150,VSAP,39.48673059321759,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11316,S,F,AC,F,-6.379328599280227,150,VSAP,39.48682662415245,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11317,S,F,AC,F,-6.37740865040052,150,VSAP,39.48622188964971,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11318,S,F,AC,F,-6.377771424570808,150,VSAP,39.48626014275719,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11319,S,F,AC,F,-6.378058736301217,150,VSAP,39.48636809919407,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11320,S,F,AC,F,-6.378097427673566,150,VSAP,39.48654036696905,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11321,S,F,AC,F,-6.378072190745664,150,VSAP,39.48670714821176,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11322,S,F,AC,F,-6.37802834950324,150,VSAP,39.487167107553425,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11323,S,F,AC,F,-6.378059361562647,150,VSAP,39.48694760934648,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11324,S,F,AC,F,-6.378005071518223,150,VSAP,39.48748366787255,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11325,S,F,AC,F,-6.37797983506564,150,VSAP,39.487650449078394,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11326,S,F,AC,F,-6.377935992243861,150,VSAP,39.488110409178276,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11327,S,F,AC,F,-6.377967004049054,150,VSAP,39.48789091012529,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11328,S,F,AC,F,-6.377293469595752,150,VSAP,39.48727369990522,10,Ba,2,P
